Claim,LLM_Response,Fact-Check Verdict,FEVER Label
An actress who was praised for her film An Education was never in a movie with a German-born Irish actor.,no,SUPPORTS,REFUTES
An actress who was praised for her film An Education was never in a movie with a German-born Irish actor.,no,SUPPORTS,REFUTES
An actress who was praised for her film An Education was never in a movie with a German-born Irish actor.,no,SUPPORTS,REFUTES
There does not exist a machine called Boeing 787 Dreamliner.,no,SUPPORTS,REFUTES
There does not exist a machine called Boeing 787 Dreamliner.,no,SUPPORTS,REFUTES
There does not exist a machine called Boeing 787 Dreamliner.,no,SUPPORTS,REFUTES
There exists a library association and it is in the world that goes by the name of American Library Association.,yes,SUPPORTS,NOT ENOUGH INFO
Kevin Bacon was in a 1996 film and was in the film Sleepers.,yes,SUPPORTS,NOT ENOUGH INFO
Sausage Party is definitely not directed by Greg Tiernan and Conrad Vernon.,no,SUPPORTS,REFUTES
1970 is the approximate time at which the person Eric Bana started living.,yes,SUPPORTS,REFUTES
1970 is the approximate time at which the person Eric Bana started living.,yes,SUPPORTS,REFUTES
1970 is the approximate time at which the person Eric Bana started living.,yes,SUPPORTS,REFUTES
1970 is the approximate time at which the person Eric Bana started living.,yes,SUPPORTS,REFUTES
1970 is the approximate time at which the person Eric Bana started living.,yes,SUPPORTS,REFUTES
1970 is the approximate time at which the person Eric Bana started living.,yes,SUPPORTS,REFUTES
There existed an assassin that went by the name of The Gettysburg Address was delivered by someone who.,no,REFUTES,NOT ENOUGH INFO
The 100 is a TV series following a group of adolescents,no,REFUTES,SUPPORTS
The 100 is a TV series following a group of adolescents,no,REFUTES,SUPPORTS
French Indochina was previously spelled as French Indo-China in the 2000s.,yes,NOT ENOUGH INFO,NOT ENOUGH INFO
There did not exist a place called Yugoslavia.,no,SUPPORTS,REFUTES
A person nominated for an Emmy Award for his work on Portlandia is a standup comedian.,no,REFUTES,NOT ENOUGH INFO
The son of Delino DeShields played center field for the Rangers after being drafted by the Astros.,no,REFUTES,SUPPORTS
The son of Delino DeShields played center field for the Rangers after being drafted by the Astros.,no,REFUTES,SUPPORTS
The son of Delino DeShields played center field for the Rangers after being drafted by the Astros.,no,REFUTES,SUPPORTS
There exists no musical called Tangled.,"no, there is no musical called tangled",SUPPORTS,REFUTES
There is a Native-American actor called Sean Gunn.,no,REFUTES,REFUTES
Temple Grandin is not a 2010 biopic.,no,SUPPORTS,REFUTES
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
The Catcher in the Rye is definitely not a movie script.,no,SUPPORTS,SUPPORTS
There does not exist a TV show that goes by the name of The Giver.,no,SUPPORTS,SUPPORTS
There does not exist a TV show that goes by the name of The Giver.,no,SUPPORTS,SUPPORTS
Charles Manson was the chief of what would later be known as the Manson Family,Charles Manson was the leader of the Manson Family.,SUPPORTS,SUPPORTS
Artpop was Gaga's second consecutive number-one record in the United States before 2010.,Yes,SUPPORTS,REFUTES
There is a Japanese television drama that is being adapted into a major motion picture called Death Note.,yes,SUPPORTS,NOT ENOUGH INFO
"Hezbollah received a type of support from a country in Western Asia , bordering Lebanon and the Mediterranean Sea to the west",no,REFUTES,SUPPORTS
"Hezbollah received a type of support from a country in Western Asia , bordering Lebanon and the Mediterranean Sea to the west",no,REFUTES,SUPPORTS
Colin Kaepernick became a starter in the National Football League.,no,REFUTES,SUPPORTS
Colin Kaepernick became a starter in the National Football League.,no,REFUTES,SUPPORTS
"There is a vegetarian, they are called Ang Lee.",no,REFUTES,NOT ENOUGH INFO
"There is a vegetarian, they are called Ang Lee.",no,REFUTES,NOT ENOUGH INFO
Ashton Kutcher was directed by a person married to Amal Clooney.,no,REFUTES,NOT ENOUGH INFO
The area of Joda is larger than the area of Mashonaland East Province.,no,REFUTES,REFUTES
The area of Joda is larger than the area of Mashonaland East Province.,no,REFUTES,REFUTES
The area of Joda is larger than the area of Mashonaland East Province.,no,REFUTES,REFUTES
There is not a squid that goes by the name of Pink.,no,SUPPORTS,SUPPORTS
Henri Kontinen is now classified last in the world for doubles in tennis,no,SUPPORTS,REFUTES
There is a sketch film called Jackie (2016 film),no,REFUTES,SUPPORTS
The area of Phulambri is larger than the area of Province of Córdoba -LRB-Spain-RRB-.,no,REFUTES,REFUTES
The area of Phulambri is larger than the area of Province of Córdoba -LRB-Spain-RRB-.,no,REFUTES,REFUTES
The area of Phulambri is larger than the area of Province of Córdoba -LRB-Spain-RRB-.,no,REFUTES,REFUTES
"There exists a place, Kentucky, that is where the person Kenny Chesney is American and started living.",yes,SUPPORTS,NOT ENOUGH INFO
Proponents of globalism tend to advocate for modification of economic policy,Globalism is a political ideology that advocates for globalization.,SUPPORTS,SUPPORTS
Andrew Carnegie has a 1889 article proclaiming ``The Gospel of Wealth'' and called on the rich to improve the upper society.,yes,NOT ENOUGH INFO,NOT ENOUGH INFO
"October 5th, 2012 is some other time than when the person Richard Dawson became deceased.",yes,SUPPORTS,SUPPORTS
Marie Curie was a mother of a French scientist Irène Joliot-Curie.,yes,SUPPORTS,SUPPORTS
There exists a young adult novel called The Catcher in the Rye.,yes,SUPPORTS,NOT ENOUGH INFO
There was a man called Paul von Hindenburg.,yes,SUPPORTS,SUPPORTS
There was a man called Paul von Hindenburg.,yes,SUPPORTS,SUPPORTS
Milk is not an American movie from 2008.,"No, it is a documentary.",NOT ENOUGH INFO,REFUTES
"There is a remake called Brick Mansions, it is called There.",no,REFUTES,SUPPORTS
"Antigua and Barbuda was named in 1493 by an Italian explorer, navigator, and colonist who completed four voyages across the Atlantic Ocean under the auspices of the Catholic Monarchs of Spain ","No, it was named after a Spanish colony.",REFUTES,SUPPORTS
"Antigua and Barbuda was named in 1493 by an Italian explorer, navigator, and colonist who completed four voyages across the Atlantic Ocean under the auspices of the Catholic Monarchs of Spain ","No, it was named after a Spanish colony.",REFUTES,SUPPORTS
"Antigua and Barbuda was named in 1493 by an Italian explorer, navigator, and colonist who completed four voyages across the Atlantic Ocean under the auspices of the Catholic Monarchs of Spain ","No, it was named after a Spanish colony.",REFUTES,SUPPORTS
The area of Bodié is larger than the area of Malhargarh.,no,REFUTES,Not Enough Info
The area of Hispania Ulterior is larger than the area of Province of Teruel.,yes,NOT ENOUGH INFO,REFUTES
The area of Hispania Ulterior is larger than the area of Province of Teruel.,yes,NOT ENOUGH INFO,REFUTES
The area of Hispania Ulterior is larger than the area of Province of Teruel.,yes,NOT ENOUGH INFO,REFUTES
The Latvian Soviet Socialist Republic was a republic of the Soviet Union 3 years after 2009.,no,REFUTES,REFUTES
The Latvian Soviet Socialist Republic was a republic of the Soviet Union 3 years after 2009.,no,REFUTES,REFUTES
The Latvian Soviet Socialist Republic was a republic of the Soviet Union 3 years after 2009.,no,REFUTES,REFUTES
Elizabeth II became queen the same year her father died.,no,REFUTES,SUPPORTS
Elizabeth II became queen the same year her father died.,no,REFUTES,SUPPORTS
Elizabeth II became queen the same year her father died.,no,REFUTES,SUPPORTS
Elizabeth II became queen the same year her father died.,no,REFUTES,SUPPORTS
Elizabeth II became queen the same year her father died.,no,REFUTES,SUPPORTS
Elizabeth II became queen the same year her father died.,no,REFUTES,SUPPORTS
"Kullervo is a peninsula on the Baltic sea, to the east of the Gulf of Finland and to the south of the Gulf of Finland and has a coastline of Sweden, Finland, Norway, the north of Finland, and Russia.",yes,SUPPORTS,REFUTES
There exists a long running television series called SpongeBob SquarePants.,yes,SUPPORTS,NOT ENOUGH INFO
Nate Diaz signed with the UFC in the year when subprime mortgage crisis happened in the United States.,no,REFUTES,NOT ENOUGH INFO
Punch Drunk Love was aired by Columbia Pictures,yes,SUPPORTS,SUPPORTS
In 1899 Arnold Droz-Farny proved Droz-Farny line theorem.,yes,NOT ENOUGH INFO,Not Enough Info
"The area of Ranala is larger than the area of Zaragoza Municipality, Coahuila.",no,REFUTES,REFUTES
"The area of Ranala is larger than the area of Zaragoza Municipality, Coahuila.",no,REFUTES,REFUTES
"The area of Ranala is larger than the area of Zaragoza Municipality, Coahuila.",no,REFUTES,REFUTES
A United Kingdom isn't directed by Sean Baker.,no,SUPPORTS,SUPPORTS
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There exists a dial telephone called The IPhone 4.,no,REFUTES,REFUTES
There existed no Lucha Libre wrestler called Gory Guerrero.,no,SUPPORTS,REFUTES
There existed no Lucha Libre wrestler called Gory Guerrero.,no,SUPPORTS,REFUTES
There is a Hindu called Cary Elwes.,no,REFUTES,NOT ENOUGH INFO
Artpop was Gaga's second consecutive number-one record in the United States in 2013.,Yes,SUPPORTS,NOT ENOUGH INFO
Mnachem Risikoff used his pen name in most of daily conversation.,no,REFUTES,Not Enough Info
"Jean Freeman's coaching style is the same as that of many coaches, taking advantage of the pools and the open-water pool.",no,REFUTES,NOT ENOUGH INFO
There is not a 1990 Australian music video that goes by the name of Night of the Living Dead.,no,SUPPORTS,SUPPORTS
One of Macklemore's singles was number one in Canada 2 years after 2008.,"Yes, Macklemore's song was number one in Canada in 2008.",SUPPORTS,NOT ENOUGH INFO
"Poor and Stupid is his only one, and it is one of several South Park episodes that Cartman, along with his friend Kenny, Stan Marsh and Kenny, are involved in.",no,REFUTES,NOT ENOUGH INFO
There is not a separatist terrorist that goes by the name of Dawood Ibrahim.,no,SUPPORTS,SUPPORTS
The area of Foza is larger than the area of Isparta Province.,no,REFUTES,REFUTES
The area of Foza is larger than the area of Isparta Province.,no,REFUTES,REFUTES
The area of Foza is larger than the area of Isparta Province.,no,REFUTES,REFUTES
There is a musical composition by Minogue called 2 Hearts.,yes,NOT ENOUGH INFO,SUPPORTS
There is a musical composition by Minogue called 2 Hearts.,yes,NOT ENOUGH INFO,SUPPORTS
There is a musical composition by Minogue called 2 Hearts.,yes,NOT ENOUGH INFO,SUPPORTS
There is a musical composition by Minogue called 2 Hearts.,yes,NOT ENOUGH INFO,SUPPORTS
Southampton F.C. came in second in the First Division in the 1980s -- 1984.,yes,SUPPORTS,SUPPORTS
The daughter of Frank Murkowski won a Senate election in Alaska after it was purchased from Russia.,no,REFUTES,SUPPORTS
The daughter of Frank Murkowski won a Senate election in Alaska after it was purchased from Russia.,no,REFUTES,SUPPORTS
The daughter of Frank Murkowski won a Senate election in Alaska after it was purchased from Russia.,no,REFUTES,SUPPORTS
"In 1971 Asylum Records the American record label was founded by an American business magnate, producer, film studio executive, and philanthropist along with his partner",No,REFUTES,SUPPORTS
"In 1971 Asylum Records the American record label was founded by an American business magnate, producer, film studio executive, and philanthropist along with his partner",No,REFUTES,SUPPORTS
There is not an American citizen called Natasha Lyonne.,no,SUPPORTS,REFUTES
"There is a Hindu, they are called Cary Elwes.",no,REFUTES,NOT ENOUGH INFO
In the End was the only song written by Linkin Park and has piano in it.,no,REFUTES,REFUTES
In the End was the only song written by Linkin Park and has piano in it.,no,REFUTES,REFUTES
In the End was the only song written by Linkin Park and has piano in it.,no,REFUTES,REFUTES
In the End was the only song written by Linkin Park and has piano in it.,no,REFUTES,REFUTES
There exists a former stock broker that goes by the name of Leslie Alexander.,yes,SUPPORTS,NOT ENOUGH INFO
"Phoenix, Arizona is not a southwestern US state.",no,SUPPORTS,SUPPORTS
"Phoenix, Arizona is not a southwestern US state.",no,SUPPORTS,SUPPORTS
"Phoenix, Arizona is not a southwestern US state.",no,SUPPORTS,SUPPORTS
"Simi Valley, California, reported a higher median household income than the California median income before 2020.",no,REFUTES,NOT ENOUGH INFO
a woman is the director of Gray Matters.,no,REFUTES,NOT ENOUGH INFO
The Monster is a gospel song by an artist who sung the Grammy award winning song The Slim Shady LP.,no,REFUTES,NOT ENOUGH INFO
There is not a singer called Keith Stanfield.,no,SUPPORTS,SUPPORTS
There is not a car that goes by the name of The Hit.,no,SUPPORTS,SUPPORTS
There is not a car that goes by the name of The Hit.,no,SUPPORTS,SUPPORTS
There is not a car that goes by the name of The Hit.,no,SUPPORTS,SUPPORTS
There does not exist a drama movie that goes by the name of An Education.,no,SUPPORTS,REFUTES
"There is a two-time Olympic gold winner in basketball, they are called Chris Paul.",no,REFUTES,SUPPORTS
"There is a two-time Olympic gold winner in basketball, they are called Chris Paul.",no,REFUTES,SUPPORTS
"There is a two-time Olympic gold winner in basketball, they are called Chris Paul.",no,REFUTES,SUPPORTS
"There is a two-time Olympic gold winner in basketball, they are called Chris Paul.",no,REFUTES,SUPPORTS
"There is a two-time Olympic gold winner in basketball, they are called Chris Paul.",no,REFUTES,SUPPORTS
The area of Khallar is larger than the area of Tete Province.,no,REFUTES,REFUTES
The area of Khallar is larger than the area of Tete Province.,no,REFUTES,REFUTES
The area of Khallar is larger than the area of Tete Province.,no,REFUTES,REFUTES
